시즌,판매기간,택매출(V+)_억,실판매출(V+)_억,실판매출(V-)_억,매출원가_억,유통수수료_억,출고매출액_억,매출총이익_억,직접비_억,직접이익(A)_억,직접이익률_%,기말재고택가_억,기말재고원가(B)_억,기말재고수량,현금회수갭(A-B)_억,판매율_%
22S,22.03~22.09,231.63,226.78,206.17,46.73,62.52,143.65,96.92,44.89,52.02,25.2,0.06,0.01,88,52.01,100.0
22F,22.09~23.03,305.95,295.72,268.84,70.09,83.74,185.1,115.01,51.84,63.18,23.5,0.56,0.12,472,63.06,99.8
22N,22.01~22.12,145.03,141.85,128.97,31.99,40.34,88.63,56.64,28.18,28.46,22.1,1.35,0.28,2812,28.17,99.1
23S,23.03~23.09,304.94,295.9,269.0,69.56,81.28,187.73,118.17,59.36,58.81,21.9,9.25,2.38,14316,56.43,97.1
23F,23.09~24.03,317.02,280.73,255.21,72.6,72.41,182.8,110.2,58.54,51.65,20.2,-0.18,-0.04,-11,51.7,100.1
23N,23.01~23.12,237.49,231.07,210.07,55.99,62.66,147.41,91.42,46.24,45.18,21.5,4.03,1.01,6026,44.18,98.3
24S,24.03~24.09,275.88,254.81,231.65,60.19,64.59,167.06,106.87,58.15,48.72,21.0,25.81,5.76,30594,42.96,91.4
24F,24.09~25.03,238.48,219.8,199.82,59.44,54.3,145.52,86.08,48.64,37.44,18.7,46.04,11.03,44691,26.4,83.8
24N,24.01~24.12,259.69,250.07,227.34,62.69,67.68,159.66,96.97,53.95,43.02,18.9,36.04,8.62,59796,34.4,87.8
25S,25.03~25.09,254.82,238.52,216.84,61.95,55.85,160.99,99.04,60.03,39.01,18.0,118.54,28.26,180797,10.75,68.3
25F,25.09~26.03,208.67,198.88,180.8,53.42,44.98,135.82,82.4,47.08,35.31,19.5,254.32,65.03,192145,-29.71,45.1
25N,25.01~25.12,268.94,254.9,231.73,66.27,74.1,157.63,91.36,52.83,38.53,16.6,129.05,31.99,155352,6.54,67.6
22년합계,22S+22F+22N,682.61,664.35,603.98,148.81,186.6,417.38,268.57,124.91,143.66,23.8,1.97,0.41,3372,143.24,99.7
23년합계,23S+23F+23N,859.45,807.7,734.28,198.15,216.35,517.94,319.79,164.14,155.64,21.2,13.1,3.35,20331,152.31,98.5
24년합계,24S+24F+24N,774.05,724.68,658.81,182.32,186.57,472.24,289.92,160.74,129.18,19.6,107.89,25.41,135081,103.76,87.8
25년합계,25S+25F+25N,732.43,692.3,629.37,181.64,174.93,454.44,272.8,159.94,112.85,17.9,501.91,125.28,528294,-12.42,59.3
